stop1,8:40~9:55,10:40~11:25,12:40~13:45,15:25~16:15,17:10~17:55,17:55
stop2,8:35~9:50,10:35~11:20,12:35~13:40,15:20~16:10,17:05~17:50,17:50
stop3,8:45~9:44,10:45~11:14,12:45~13:34,15:28~16:00,17:15~17:44,17:44
stop4,8:50~9:48,10:50~11:18,12:50~13:38,15:32~16:05,17:18~17:48,17:48
