stop1,8:40~11:55,12:50~14:10,15:10~16:40,17:05~17:57,18:30,18:55,19:15,19:15
stop2,8:35~11:50,12:45~14:05,15:05~16:35,17:00~17:52,18:20,18:45,19:10,19:10
stop3,8:44~11:43,12:54~13:56,15:15~16:27,17:10~17:50,18:02,18:35,19:00,19:00
stop4,8:48~11:47,12:58~14:00,15:18~16:30,17:15~17:55,18:10,18:40,19:05,19:05
